Categoría,DC,OLV,SUB,POB
Leche,210,220,240,100
Yogurt,8,50,0,0
Batidos,10,23,0,0
Helado,12,5,0,0
Queso fresco,13,41,22,0
Huevos,24,15,35,0
Carne de res,16,0,35,0
Embutidos,45,0,20,0
Cerdo,30,0,15,0
Mantequilla,1,2,2,0
Cordero,5,0,0,0
Pollo,53,0,30,50
Arroz,100,170,220,200
Pasta,18,0,8,70
Pan,50,110,95,100
Cereales,40,24,4,60
Legumbres,28,76,20,100
Papas,120,10,110,300
Tomate,150,110,140,30
Otros vegetales,80,130,58,30
Lechuga,80,90,78,20
Aceitunas,23,10,26,0
Manzana,55,49,10,30
Plátano,36,0,40,30
Cítricos,12,5,15,10
Jugo,7,150,110,0
Azúcar,6,10,42,10
Café,30,0,9,5
Gaseosa,105,100,60,0
Agua,40,80,110,300
Cerveza,2,0,20,0
Vino,10,20,0,0
Durazno,4,5,0,0
Frutos secos,5,18,35,0
Galletas,2,2,0,0
