Grupo,categoria_es
"Milk, reduced fat",Leche
"Milk, whole",Leche
"Milk, lowfat",Leche
"Milk, nonfat",Leche
"Flavored milk, whole",Leche
Plant-based milk,Leche
"Yogurt, regular",Yogurt
"Yogurt, Greek",Yogurt
Baby food: yogurt,Yogurt
"Flavored milk, lowfat",Leche
"Flavored milk, reduced fat",Leche
"Flavored milk, nonfat",Leche
Milk shakes and other dairy drinks,Batidos
Smoothies and grain drinks,Batidos
Ice cream and frozen dairy desserts,Helado
"Cream cheese, sour cream, whipped cream",Queso fresco
Cottage/ricotta cheese,Queso fresco
Eggs and omelets,Huevos
Egg/breakfast sandwiches,Huevos
"Beef, excludes ground",Carne de res
Ground beef,Carne de res
Cold cuts and cured meats,Embutidos
Bacon,Cerdo
Pork,Cerdo
Butter and animal fats,Mantequilla
"Lamb, goat, game",Cordero
"Turkey, duck, other poultry",Pollo
"Chicken, whole pieces",Pollo
"Chicken patties, nuggets and tenders",Pollo
Frankfurters,Embutidos
Sausages,Embutidos
Poultry mixed dishes,Pollo
Rice mixed dishes,Arroz
Fried rice and lo/chow mein,Arroz
"Pasta sauces, tomato-based",Pasta
"Pasta, noodles, cooked grains",Pasta
"Pasta mixed dishes, excludes macaroni and cheese",Pasta
Macaroni and cheese,Pasta
Yeast breads,Pan
Rolls and buns,Pan
Bagels and English muffins,Pan
"Doughnuts, sweet rolls, pastries",Pan
"Biscuits, muffins, quick breads",Pan
Cereal bars,Cereales
Nutrition bars,Cereales
Oatmeal,Cereales
Rice,Arroz
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",Cereales
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",Cereales
"Beans, peas, legumes",Legumbres
"Bean, pea, legume dishes",Legumbres
"Tortilla, corn, other chips",Papas
Potato chips,Papas
"White potatoes, baked or boiled",Papas
Mashed potatoes and white potato mixtures,Papas
French fries and other fried white potatoes,Papas
Tomatoes,Tomate
"Tomato-based condiments",Tomate
Vegetable dishes,Otros vegetales
Other dark green vegetables,Otros vegetales
Broccoli,Otros vegetales
Spinach,Otros vegetales
Carrots,Otros vegetales
Lettuce and lettuce salads,Lechuga
"Coleslaw, non-lettuce salads",Lechuga
String beans,Legumbres
Cabbage,Otros vegetales
Onions,Otros vegetales
"Olives, pickles, pickled vegetables",Aceitunas
Apples,Manzana
Bananas,Plátano
Citrus fruits,Cítricos
Citrus juice,Cítricos
Other fruit juice,Jugo
"Jams, syrups, toppings",Azúcar
Sugar substitutes,Azúcar
Coffee,Café
Soft drinks,Gaseosa
Diet soft drinks,Gaseosa
Flavored or carbonated water,Agua
Tap water,Agua
Bottled water,Agua
Enhanced water,Agua
Beer,Cerveza
Wine,Vino
"Peaches and nectarines",Durazno
"Nuts and seeds",Frutos secos
"Crackers, excludes saltines",Galletas
"Cookies and brownies",Galletas
"Saltine crackers",Galletas
